"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"RtlNtStatusToDosError","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","RtlNtStatusToDosError","[Unknown]","0x18000c430","0","0"
"RtlFreeHeap","0.002","17472000","14976000","1.16667","0","0","1","0","0","0","0","0","0","8.73599e+09","ntdll.dll","RtlFreeHeap","[Unknown]","0x1800800c0","0","0"
"RtlEnterCriticalSection","0","0","2496000","0","0","","","0","0","0","0","0","0","0","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x18008f780","0","0"
"RtlCopyMemory","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","RtlCopyMemory","[Unknown]","0x1406b9f00","0","0"
"RtlAllocateHeap","0.002","2496000","0","","0","0","1","0","0","0","1","0","0","1.248e+09","ntdll.dll","RtlAllocateHeap","[Unknown]","0x180015df0","0","0"
"read","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ucrtbase.dll","read","[Unknown]","0x180012bd0","0","0"
"power","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","power(unsigned long long, unsigned long long, unsigned long long)","main.cc","0x1400027ce","0","0"
"PfFileInfoNotify","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","PfFileInfoNotify","[Unknown]","0x140213020","0","0"
"operator new","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","operator new(unsigned long long)","[Unknown]","0x3beaa2d20","0","0"
"operator delete","0","0","0","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","operator delete(void*)","[Unknown]","0x3beaa2c60","0","0"
"ntt_worker","0.0930001","371904000","1924416000","0.193256","1","0","0","0","0.610209","0.110947","0.112423","0.166421","0.166421","3.99897e+09","main.exe","ntt_worker(NTTTaskArgs*)","main.cc","0x1400029af","0","0"
"montgomery::toMont","0.001","0","44928000","0","0","0","1","0","0","0","0","0","0","0","main.exe","montgomery::toMont(unsigned long long)","main.cc","0x140009300","0","0"
"montgomery::REDC","0.177","676416000","3052608000","0.221586","1","0","0","0","1","0.120193","0","0","0","3.82156e+09","main.exe","montgomery::REDC(unsigned __int128)","main.cc","0x1400090c0","0","0"
"montgomery::montgomery_sub","0.018","92352000","609024000","0.151639","1","0","0","0","0.721156","0","0.278844","0","0","5.13066e+09","main.exe","montgomery::montgomery_sub(unsigned long long, unsigned long long, unsigned long long)","main.cc","0x140009070","0","0"
